,Product_Name,Brand,Capacity,Original_Price,Discount_Price,Discount_Percentage,specification,Rating,totalNumberofRatingGivens
683,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
684,Iris Spider Shaker Bottle 500 ml Shaker,Iris,500 ml,₹999,₹197,80% off,"Pack of 1, Multicolor, Plastic",4.2,(330)
685,TrueShake Spider Protein Gym Shaker Bottle for Gym 500 ...,TrueShake,NaN,₹358,₹205,42% off,"Pack of 1, Blue, Plastic",4.2,(39)
686,Milton Thermosteel Flip lid 1000 ml Flask,Milton,1000 ml,₹995,₹849,14% off,"Pack of 1, Silver, Steel, Copper",4.4,"(1,35,755)"
687,Oxyjal Pure 1000 ml bottle 4 250 ml Copper Glass For Dr...,Oxyjal,1000 ml,₹999,₹899,10% off,"Pack of 5, Brown, Copper",4.3,(3)
688,"Buffy 1.5 L Bpa Free Gallon Water Bottle, Sports Fitnes...",Buffy,NaN,₹750,₹229,69% off,"Pack of 1, Black, Plastic",4.5,(40)
689,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
690,Milton HAWK 750 ml Bottle,Milton,750 ml,₹364,₹335,7% off,"Pack of 1, Silver, Steel",4.2,"(1,850)"
691,Nesta Stainless Steel Fridge Water Bottle/Refrigerator ...,Nesta,NaN,"₹1,199",₹699,41% off,"Pack of 3, Steel/Chrome, Steel",4.1,(311)
692,ADYAH Creations GIFT PACK DIWALI COPPER WATER BOTTLE WI...,ADYAH,NaN,"₹3,499","₹1,199",65% off,"Pack of 3, Copper, Copper",NaN,NaN
693,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
694,Parteet Glass Cartoon Character Shape Bottle 350 ml - f...,Parteet,350 ml,₹500,₹329,34% off,"Pack of 1, Multicolor, Glass",4.3,(37)
695,kitchengram 45 100 ml Water Bottle,kitchengram,100 ml,₹299,₹79,73% off,"Set of 1, White",NaN,NaN
696,szonee Doremon Cartoon Printed BPA Free Water Bottle fo...,szonee,NaN,₹399,₹148,62% off,"Set of 1, Blue",NaN,NaN
697,"YOUP Peppa Pig, Insulated Stainless Steel 550 ml Water ...",YOUP,550 ml,₹999,₹849,15% off,"Set of 1, Red",4.3,(4)
698,Uniglobal Business Alkaline 650 ml Water Bottle,Uniglobal,650 ml,"₹1,499",₹842,43% off,"Set of 1, Light Blue",NaN,NaN
699,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
700,ADIDAS WATER BOTTLE BPA-FREE WITH AN ERGONOMIC DESIGN 7...,ADIDAS,NaN,"₹1,199",₹798,33% off,"Pack of 1, Black, Plastic",NaN,NaN
701,Adrenex by Flipkart BPA Free Gym Bottle with Mixer Ball...,Adrenex,NaN,₹569,₹259,54% off,"Pack of 1, Grey, Orange, Plastic",4.3,"(1,852)"
702,S.Blaze Amazing Black & Blue Colour 500ml Protein Shake...,S.Blaze,500ml,₹250,₹160,36% off,"Pack of 1, Blue, Plastic",4,(162)
703,AKG Stainless Steel Water Bottle/ Fridge Water Bottle 1...,AKG,NaN,"₹2,999","₹1,098",63% off,"Pack of 6, Silver, Steel",4,(281)
704,Park Avenue Beer Shiny and Bouncy Shampoo Men & Women,Park,NaN,₹250,₹199,20% off,350 ml,4.2,"(15,604)"
705,Kuber Industries Stainless Steel Fridge Water Bottle/Re...,Kuber,NaN,"₹2,398",₹649,72% off,"Pack of 3, Silver, Steel",4,(510)
706,"shopguru india Lyra Glass Milk, Water and Juice Bottle ...",shopguru,NaN,"₹2,080",₹409,80% off,"Pack of 6, Clear, Glass",4.1,(83)
707,Cello H2O Unbreakable 1000 ml Bottle,Cello,1000 ml,₹961,₹649,32% off,"Pack of 6, Multicolor, Plastic",4.4,"(5,470)"
708,ATLASWARE STAINLESS STEEL MADE IN INDIA VACUUM BOTLLE 2...,ATLASWARE,NaN,"₹1,600","₹1,389",13% off,"Pack of 1, Steel/Chrome, Steel",4.2,(38)
709,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
710,Pigeon King Water Bottle 750ml 750 ml Bottle,Pigeon,750ml,₹310,₹259,16% off,"Pack of 1, Silver, Steel",4,(562)
711,ATLASWARE STAINLESS STEEL VACUUM BOTLLE 2000 ML STEEL F...,ATLASWARE,2000 ML,"₹1,600","₹1,399",12% off,"Pack of 1, Silver, Steel",4.4,(44)
712,Cello Ozone 1000 ml Water Bottles,Cello,1000 ml,₹426,₹370,13% off,"Set of 3, Multicolor",4.3,(130)
713,SNT Shaker Bottle 1000 ml 1000 ml Bottle,SNT,1000 ml,₹490,₹250,48% off,"Pack of 1, Black, Plastic",NaN,NaN
714,Tera13 unicorn 500 ml Water Bottles,Tera13,500 ml,₹599,₹459,23% off,"Set of 4, Multicolor",NaN,NaN
715,Disney AVENGERS 500 ml Water Bottle,Disney,500 ml,NaN,₹249,NaN,"Set of 1, Dark Blue",3.9,(13)
716,Disney BELL 400 ml Water Bottle,Disney,400 ml,NaN,₹299,NaN,"Set of 1, Yellow",4.3,(6)
717,HEALTHOXIDE Gym Shaker Pro Cyclone Shaker 500ml with Ex...,HEALTHOXIDE,500ml,₹699,₹349,50% off,"Pack of 1, Multicolor, Plastic",NaN,NaN
718,Lifestraw Go 650 ml Sipper,Lifestraw,650 ml,"₹1,990","₹1,599",19% off,"Pack of 1, Blue, Tritan",4.5,(30)
719,Tupperware Fliptop Bottle 750 ml Bottle,Tupperware,750 ml,"₹1,100",₹989,10% off,"Pack of 4, Yellow, Green, Blue, Red, Plastic",4.8,(9)
720,Tera13 unicorn 500 ml Water Bottles,Tera13,500 ml,₹599,₹459,23% off,"Set of 4, Multicolor",NaN,NaN
721,Asian Aura Transparent Empty Spray Bottle 100 ml Bottle...,Asian,100 ml,₹399,₹115,71% off,White,4.1,(130)
722,Milton MILTON KOOL CRONY 600 ml Water Bottles,Milton,600 ml,₹274,₹190,30% off,"Set of 2, Multicolor",NaN,NaN
723,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
724,Tuelip Tuelip Sports Stainless Steel Water Bottle For S...,Tuelip,NaN,₹699,₹269,61% off,"Set of 1, Blue",4.2,(34)
725,HAANS Hulk Gallon Shaker Bottle 1.5 Litre (model 1) 150...,HAANS,NaN,₹999,₹249,75% off,"Pack of 1, Black, Plastic",4.3,(224)
726,ADIDAS S96920 750 ml Sipper,ADIDAS,750 ml,₹599,₹579,3% off,"Pack of 1, Black, Plastic",4.1,(208)
727,Lifestraw 2 Stage Green 650 ml Sipper,Lifestraw,650 ml,"₹2,790","₹2,199",21% off,"Pack of 1, Green, Tritan",4.5,(13)
728,Biotique Bio Cucumber Pore Tightening Toner With Himala...,Biotique,NaN,₹175,₹161,8% off,120 ml,4.1,(511)
729,STARRY Stainless Steel Fridge/Sports /Refrigerator Wate...,STARRY,NaN,₹595,₹239,59% off,"Pack of 1, Silver, Steel",NaN,NaN
730,"Princeware Pet Fridge Bottle IRIS 1000 MLx 3 (PL), Tran...",Princeware,1000 ML,₹199,₹109,45% off,"Pack of 3, Clear, PET",NaN,NaN
731,Health Mechanic Red Leaf Copper Bottle_1000ml 1000 ml B...,Health,1000ml,"₹1,399",₹488,65% off,"Pack of 1, Copper, Copper",4,(27)
732,Cello H2O 1000 ml Bottle,Cello,1000 ml,₹977,₹657,32% off,"Pack of 6, Multicolor, Plastic",4.3,"(9,515)"
733,STARRY Stainless Steel Fridge water bottle 1000 ml (Pac...,STARRY,1000 ml,"₹1,190",₹429,63% off,"Pack of 2, Silver, Steel",NaN,NaN
734,Quick Shel Single Wall Stainless Steel Travel Gym Water...,Quick,NaN,₹899,₹270,69% off,"Pack of 1, Blue, Steel",3.9,(389)
735,Milton Thermosteel Flip Lid 1000 ML Flask 1000 ml Bottl...,Milton,1000 ML,₹995,₹875,12% off,"Pack of 1, Silver, Steel",4.2,(22)
736,Milton Elfin-300 Thermosteel Hot & Cold 300 ml Bottle,Milton,300 ml,₹545,₹478,12% off,"Pack of 1, Silver, Steel",4.4,(69)
737,Tuelip Set Of 3 Stainless Steel Water Bottle For School...,Tuelip,NaN,₹999,₹629,37% off,"Set of 3, Silver",4.1,(141)
738,CRYA Tile Style Bottle 300 ml,CRYA,300 ml,NaN,₹299,NaN,Pink,3.5,(8)
739,Greenchef SS Bottle - 750ml with Handle 750 ml Bottle,Greenchef,750ml,₹899,₹589,34% off,"Pack of 1, Silver, Steel",4.3,"(2,015)"
740,Disney Tumbler 300 ml,Disney,300 ml,NaN,₹329,NaN,Pink,3.5,(6)
741,MUGALE Energy Prnted Insulated 500 ml Water Bottle,MUGALE,500 ml,NaN,₹266,NaN,"Set of 1, Multicolor",NaN,NaN
742,TrendZone Protein Shaker | Sipper Bottle | Gym Bottle |...,TrendZone,NaN,₹290,₹194,33% off,"Pack of 1, Multicolor, Tritan, Plastic",4.1,(74)
743,AKG Stainless Steel Fridge Water Bottle/Refrigerator Bo...,AKG,NaN,₹999,₹599,40% off,"Pack of 3, Silver, Steel",3.9,(169)
744,Ipop Retail SPIDER PROTEIN MIXER GYM BOTTLE 500 ml Shak...,Ipop,500 ml,₹599,₹194,67% off,"Pack of 1, Blue, Plastic",4.1,(65)
745,Nike Big Mouth Water Bottle 2.0 32 OZ 945 ml 945 ml Sip...,Nike,945 ml,₹690,₹622,9% off,"Pack of 1, Yellow, Plastic",4.1,(8)
746,Horlicks Chocolate Delight Flavour Mix,Horlicks,NaN,NaN,₹110,NaN,200 g,4.4,"(7,215)"
747,Cello CRYSTAL 1000 ml Bottle,Cello,1000 ml,₹540,₹335,37% off,"Pack of 12, Blue, Orange, PET",3.8,(23)
748,Milton VIRTUE 750 750 ml Bottle,Milton,750 ml,₹358,₹305,14% off,"Pack of 1, Pink, Steel",4,"(1,297)"
749,SPEEDEX Single Walled Stainless Steel Fridge Water Bott...,SPEEDEX,NaN,₹449,₹399,11% off,"Pack of 1, Blue, Steel",4.1,(434)
750,720°DGREE Tritan Premium Eco-friendly Sports Bottle 150...,720°DGREE,NaN,"₹2,477","₹1,877",24% off,"Pack of 1, Maroon, Tritan",4.5,(362)
751,Kuber Industries Stainless Steel Fridge Water Bottle/Re...,Kuber,NaN,₹998,₹299,70% off,"Pack of 1, Silver, Steel",4.2,(31)
752,Tuelip Sports Stainless Steel Bottle for School Kids Gi...,Tuelip,NaN,₹999,₹449,55% off,"Pack of 2, Blue, Steel",NaN,NaN
753,Tupperware Fliptop Bottle 750 ml Bottle,Tupperware,750 ml,"₹1,100",₹989,10% off,"Pack of 4, Yellow, Green, Blue, Red, Plastic",4.8,(9)
754,Relsa Cpln1000 1000 ml Bottle,Relsa,1000 ml,"₹1,695",₹369,78% off,"Pack of 1, Gold, Copper",3.9,(64)
755,"Tuelip Stainless Steel Water Bottle for College, School...",Tuelip,NaN,"₹1,399",₹429,69% off,"Set of 2, Multicolor",3.9,(18)
756,Barbie Classic 350 ml,Barbie,350 ml,NaN,₹799,NaN,Multicolor,4.7,(3)
757,Lutyens SS Bottle 750 ml Water Bottle,Lutyens,750 ml,₹699,₹399,42% off,"Set of 1, Blue",3.6,(5)
758,Disney MICKEY MOUSE 500 ml Water Bottle,Disney,500 ml,₹499,₹424,15% off,"Set of 1, Light Blue, Red",4,(26)
759,Milton Thermosteel duo dlx 1000 1000 ml Bottle,Milton,1000 ml,"₹1,200",₹999,16% off,"Pack of 1, Steel/Chrome, Steel",4.5,"(4,182)"
760,Cello H2O 1000 ml Bottle,Cello,1000 ml,₹977,₹657,32% off,"Pack of 6, Multicolor, Plastic",4.3,"(9,515)"
761,Cello CRYSTAL 1000 ml Bottle,Cello,1000 ml,₹540,₹380,29% off,"Pack of 12, Black, Orange, PET",3.5,(148)
762,Lutyens SS Bottle 750 ml Water Bottle,Lutyens,750 ml,₹699,₹399,42% off,"Set of 1, Blue",3.6,(5)
763,STARRY Jointless Mirror Shine Stainless Steel Water Bot...,STARRY,NaN,₹549,₹299,45% off,"Pack of 1, Silver, Steel",NaN,NaN
764,Disney MICKEY MOUSE 500 ml Water Bottle,Disney,500 ml,₹499,₹424,15% off,"Set of 1, Light Blue, Red",4,(26)
765,SKI Homeware FROZEN TURBO GLASS 400 ml,SKI,400 ml,₹449,₹359,20% off,Multicolor,4.6,(5)
766,Disney Classic 360 ml,Disney,360 ml,NaN,₹349,NaN,Multicolor,4.6,(17)
767,Chubs Muscle Is Loading Premium Quality 700 ml Shaker,Chubs,700 ml,₹199,₹149,25% off,"Pack of 1, Multicolor, Plastic",4,(853)
